No.,Time,Source,Destination,Protocol,Length,Info
261,7.752573,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
262,7.793861,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
263,7.813263,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
264,7.915118,192.168.1.135,224.0.0.251,MDNS,130,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
265,7.916586,fe80::489:41fe:2feb:b5b3,ff02::fb,MDNS,150,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
266,8.037093,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
267,8.177055,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
268,8.228672,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
269,8.292993,192.168.1.106,185.199.110.154,TCP,55,51095  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]
270,8.294514,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
271,8.358757,185.199.110.154,192.168.1.106,TCP,66,443  >  51095 [ACK] Seq=1 Ack=2 Win=60 Len=0 SLE=1 SRE=2
272,8.367905,192.168.1.135,224.0.0.251,IGMPv2,46,Membership Report group 224.0.0.251
273,8.367905,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
274,8.451765,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
275,8.54449,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
276,8.546514,52.114.6.96,192.168.1.106,TLSv1.2,754,Application Data
277,8.548367,192.168.1.106,52.114.6.96,TLSv1.2,782,Application Data
278,8.556321,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
279,8.556514,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
280,8.588066,192.168.1.106,52.114.6.96,TCP,54,50599  >  443 [ACK] Seq=1 Ack=701 Win=517 Len=0
281,8.65361,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
282,8.665265,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
283,8.683184,52.114.6.96,192.168.1.106,TCP,54,443  >  50586 [ACK] Seq=1 Ack=729 Win=2050 Len=0
284,8.776667,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
285,8.874802,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
286,8.949405,192.168.1.106,52.115.97.218,UDP,141,50047  >  3481 Len=99
287,8.977328,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
288,8.982147,192.168.1.135,224.0.0.251,MDNS,130,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
289,8.984107,fe80::489:41fe:2feb:b5b3,ff02::fb,MDNS,150,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
290,9.044939,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
291,9.127987,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
292,9.22878,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
293,9.295852,192.168.1.106,52.115.97.218,UDP,177,50013  >  3479 Len=135
294,9.313361,52.115.97.218,192.168.1.106,UDP,125,3480  >  50021 Len=83
295,9.462521,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
